MODEL SETTING,,,,
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift
50,5,8,95, false
,,,,
Tic, MuscleMass, Anabolic, Catabolic,
854,7.943949,50,52,
855,7.936731,50,52,
856,7.929543,50,52,
857,7.922355,50,52,
858,7.915167,50,52,
859,7.907979,50,52,
860,7.900791,50,52,
861,7.893603,50,52,
862,7.886415,50,52,
863,7.87926,50,52,
864,7.872139,50,52,
865,7.865019,50,52,
866,7.857899,50,52,
867,7.850779,50,52,
868,7.843659,50,52,
869,7.836556,50,52,
870,7.82947,50,52,
871,7.822384,50,52,
872,7.815298,50,52,
873,7.808213,50,52,
874,7.801127,50,52,
875,7.794041,50,52,
876,7.786955,50,52,
877,7.779869,50,52,
878,7.772783,50,52,
879,7.765697,50,52,
880,7.758612,50,52,
881,7.751526,50,52,
882,7.74444,50,52,
883,7.737354,50,52,
884,7.730268,50,52,
885,7.723182,50,52,
886,7.716111,50,52,
887,7.70906,50,52,
888,7.702039,50,52,
889,7.695056,50,52,
890,7.688077,50,52,
891,7.681127,50,52,
892,7.674177,50,52,
893,7.667228,50,52,
894,7.660278,50,52,
895,7.653329,50,52,
896,7.646379,50,52,
897,7.639429,50,52,
898,7.63248,50,52,
899,7.62553,50,52,
900,7.618581,50,52,
901,7.611631,50,52,
902,7.604681,50,52,
903,7.597732,50,52,
904,7.590782,50,52,
905,7.583833,50,52,
906,7.576883,50,52,
907,7.569933,50,52,
908,7.562984,50,52,
909,7.556034,50,52,
910,7.549085,50,52,
911,7.542135,50,52,
912,7.535185,50,52,
913,7.528236,50,52,
914,7.521286,50,52,
915,7.514352,50,52,
916,7.507443,50,52,
917,7.500562,50,52,
918,7.493709,50,52,
919,7.486862,50,52,
920,7.480014,50,52,
921,7.473167,50,52,
922,7.46632,50,52,
923,7.459472,50,52,
924,7.452625,50,52,
925,7.445777,50,52,
926,7.43893,50,52,
927,7.432083,50,52,
928,7.425235,50,52,
929,7.418388,50,52,
930,7.41154,50,52,
931,7.404714,50,52,
932,7.397901,50,52,
933,7.391088,50,52,
934,7.384274,50,52,
935,7.377461,50,52,
936,7.370648,50,52,
937,7.363838,50,52,
938,7.357059,50,52,
939,7.350296,50,52,
940,7.343551,50,52,
941,7.336805,50,52,
942,7.330085,50,52,
943,7.323374,50,52,
944,7.316663,50,52,
945,7.309952,50,52,
946,7.30324,50,52,
947,7.296529,50,52,
948,7.289846,50,52,
949,7.283203,50,52,
950,7.276569,50,52,
951,7.26996,50,52,
952,7.263351,50,52,
953,7.256742,50,52,
954,7.250133,50,52,
955,7.243524,50,52,
956,7.236915,50,52,
957,7.230306,50,52,
958,7.223697,50,52,
959,7.217088,50,52,
960,7.210479,50,52,
961,7.203871,50,52,
962,7.197262,50,52,
963,7.190653,50,52,
964,7.184044,50,52,
965,7.177435,50,52,
966,7.170826,50,52,
967,7.164217,50,52,
968,7.157608,50,52,
969,7.150999,50,52,
970,7.14439,50,52,
971,7.137781,50,52,
972,7.131172,50,52,
973,7.124563,50,52,
974,7.117954,50,52,
975,7.111345,50,52,
976,7.104737,50,52,
977,7.098128,50,52,
978,7.091519,50,52,
979,7.08491,50,52,
980,7.078301,50,52,
981,7.071692,50,52,
982,7.065083,50,52,
983,7.058474,50,52,
984,7.051865,50,52,
985,7.045281,50,52,
986,7.038707,50,52,
987,7.032132,50,52,
988,7.025557,50,52,
989,7.018982,50,52,
990,7.012407,50,52,
991,7.005832,50,52,
992,6.999257,50,52,
993,6.992682,50,52,
994,6.986126,50,52,
995,6.979585,50,52,
996,6.973044,50,52,
997,6.966504,50,52,
998,6.959963,50,52,
999,6.953422,50,52,
1000,6.946881,50,52,
1001,6.94034,50,52,
1002,6.933806,50,52,
1003,6.927299,50,52,
1004,6.920792,50,52,
1005,6.914286,50,52,
1006,6.907779,50,52,
1007,6.901272,50,52,
1008,6.894784,50,52,
1009,6.888312,50,52,
1010,6.881839,50,52,
1011,6.875366,50,52,
1012,6.868898,50,52,
1013,6.862466,50,52,
1014,6.856073,50,52,
1015,6.849703,50,52,
1016,6.843332,50,52,
1017,6.836966,50,52,
1018,6.830629,50,52,
1019,6.824304,50,52,
1020,6.818001,50,52,
1021,6.811699,50,52,
1022,6.805397,50,52,
1023,6.799094,50,52,
1024,6.792792,50,52,
1025,6.786513,50,52,
1026,6.780245,50,52,
1027,6.773977,50,52,
1028,6.767708,50,52,
1029,6.76144,50,52,
1030,6.755172,50,52,
1031,6.748904,50,52,
1032,6.742665,50,52,
1033,6.736465,50,52,
1034,6.730265,50,52,
1035,6.724114,50,52,
1036,6.718016,50,52,
1037,6.711919,50,52,
1038,6.705821,50,52,
1039,6.699723,50,52,
1040,6.693625,50,52,
1041,6.687534,50,52,
1042,6.681504,50,52,
1043,6.675474,50,52,
1044,6.669445,50,52,
1045,6.663415,50,52,
1046,6.657385,50,52,
1047,6.651355,50,52,
1048,6.645325,50,52,
1049,6.639296,50,52,
1050,6.633266,50,52,
1051,6.627236,50,52,
1052,6.621206,50,52,
1053,6.615176,50,52,
1054,6.609147,50,52,
1055,6.603117,50,52,
1056,6.597087,50,52,
1057,6.591057,50,52,
1058,6.585027,50,52,
1059,6.578998,50,52,
1060,6.572968,50,52,
1061,6.566938,50,52,
1062,6.560908,50,52,
1063,6.554878,50,52,
1064,6.548879,50,52,
1065,6.542883,50,52,
1066,6.536887,50,52,
1067,6.530892,50,52,
1068,6.524896,50,52,
1069,6.5189,50,52,
1070,6.512904,50,52,
1071,6.506909,50,52,
1072,6.500913,50,52,
1073,6.494917,50,52,
1074,6.488921,50,52,
1075,6.482926,50,52,
1076,6.47693,50,52,
1077,6.470934,50,52,
1078,6.464939,50,52,
1079,6.458943,50,52,
1080,6.452947,50,52,
1081,6.446967,50,52,
1082,6.441005,50,52,
1083,6.435044,50,52,
1084,6.429082,50,52,
1085,6.42312,50,52,
1086,6.417159,50,52,
1087,6.411197,50,52,
1088,6.405235,50,52,
1089,6.399274,50,52,
1090,6.393312,50,52,
1091,6.38735,50,52,
1092,6.381389,50,52,
1093,6.375427,50,52,
1094,6.369481,50,52,
1095,6.363553,50,52,
1096,6.357625,50,52,
1097,6.351698,50,52,
1098,6.34577,50,52,
1099,6.339843,50,52,
1100,6.333932,50,52,
1101,6.328039,50,52,
1102,6.322145,50,52,
1103,6.316252,50,52,
1104,6.310358,50,52,
1105,6.304465,50,52,
1106,6.298571,50,52,
1107,6.292678,50,52,
1108,6.286805,50,52,
1109,6.280956,50,52,
1110,6.27513,50,52,
1111,6.269305,50,52,
1112,6.263479,50,52,
1113,6.257654,50,52,
1114,6.251829,50,52,
1115,6.246003,50,52,
